omega_rad_s,heading_deg,method,body,dof,load,Cd
1.3,0,far_field_global,0,6,-1.61020620117058e-09,-3.20381145282193e-15
1.3,45,near_field,1,1,121112.303487001,2.40975959915704
1.3,45,near_field,1,2,121111.903055884,2.40975163181846
1.3,45,near_field,1,3,125720.269020351,2.50144383648778
1.3,45,near_field,1,4,134.047107883537,0.000266712213095891
1.3,45,near_field,1,5,-134.05468373582,-0.000266727286694721
1.3,45,near_field,1,6,0.00710638816362471,1.41395106851952e-08
1.3,45,far_field_global,0,1,-10463.4917172846,-0.208191066311714
1.3,45,far_field_global,0,2,-10463.4917172846,-0.208191066311715
1.3,45,far_field_global,0,3,0,0
1.3,45,far_field_global,0,4,0,0
1.3,45,far_field_global,0,5,0,0
1.3,45,far_field_global,0,6,4.68250414591789e-09,9.31673247790994e-15
1.3,90,near_field,1,1,1.31527297046587,2.61698570239158e-05
1.3,90,near_field,1,2,171373.418800248,3.40980007071355
1.3,90,near_field,1,3,125715.747393684,2.50135387012638
1.3,90,near_field,1,4,154.816036899108,0.000308035947034166
1.3,90,near_field,1,5,-0.0228380909162252,-4.54407250355878e-08
1.3,90,near_field,1,6,0.0167496356611027,3.33265854538531e-08
1.3,90,far_field_global,0,1,1.08425546288728e-12,2.15733243808009e-17
1.3,90,far_field_global,0,2,-14794.549070675,-0.294365688801265
1.3,90,far_field_global,0,3,0,0
1.3,90,far_field_global,0,4,0,0
1.3,90,far_field_global,0,5,0,0
1.3,90,far_field_global,0,6,1.57972635262905e-09,3.14316599774503e-15
1.4,0,near_field,1,1,476872.526752453,9.48828579616053
1.4,0,near_field,1,2,-0.506921369918963,-1.00861646753434e-05
1.4,0,near_field,1,3,338755.792890604,6.74019071708766
1.4,0,near_field,1,4,0.0391503271699864,7.78970211875619e-08
1.4,0,near_field,1,5,-448.524162574706,-0.00089242411802883
1.4,0,near_field,1,6,0.0234696083157355,4.66972489986285e-08
1.4,0,far_field_global,0,1,-133644.922798591,-2.65911989385185
1.4,0,far_field_global,0,2,-1.04261964130943e-10,-2.07449005309747e-15
1.4,0,far_field_global,0,3,0,0
1.4,0,far_field_global,0,4,0,0
1.4,0,far_field_global,0,5,0,0
1.4,0,far_field_global,0,6,1.16985731054407e-10,2.32765359303911e-16
1.4,45,near_field,1,1,337166.201825167,6.708562779889
1.4,45,near_field,1,2,337166.050359782,6.70855976619712
1.4,45,near_field,1,3,338835.948101616,6.74178555744323
1.4,45,near_field,1,4,354.510317518503,0.000705365694520138
1.4,45,near_field,1,5,-354.515725786101,-0.000705376455297024
1.4,45,near_field,1,6,0.00271431650322273,5.40064886924834e-09
1.4,45,far_field_global,0,1,-94509.9023054815,-1.88045423742165
1.4,45,far_field_global,0,2,-94509.9023054815,-1.88045423742165
1.4,45,far_field_global,0,3,0,0
1.4,45,far_field_global,0,4,0,0
1.4,45,far_field_global,0,5,0,0
1.4,45,far_field_global,0,6,2.86004731600023e-10,5.69060803514038e-16
1.4,90,near_field,1,1,0.333633280779215,6.63826859706504e-06
1.4,90,near_field,1,2,476870.801877183,9.4882514764868
1.4,90,near_field,1,3,338747.572134854,6.74002714951845
1.4,90,near_field,1,4,448.508281040437,0.000892392518696186
1.4,90,near_field,1,5,-0.0755602561256419,-1.50341498981623e-07
1.4,90,near_field,1,6,0.0245444288522627,4.88358088564595e-08
1.4,90,far_field_global,0,1,9.91789943123396e-11,1.97335470218807e-15
1.4,90,far_field_global,0,2,-133644.922798593,-2.65911989385188
1.4,90,far_field_global,0,3,0,0
1.4,90,far_field_global,0,4,0,0
1.4,90,far_field_global,0,5,0,0
1.4,90,far_field_global,0,6,-2.24470966506418e-10,-4.46627675881795e-16
1.5,0,near_field,1,1,83102.402746783,1.65348033986958
1.5,0,near_field,1,2,-0.718870759378105,-1.43033008463143e-05
1.5,0,near_field,1,3,90521.4210250855,1.80109581738694
1.5,0,near_field,1,4,-0.00419586725053416,-8.34847582999572e-09
1.5,0,near_field,1,5,-103.139228593926,-0.000205215109446366
1.5,0,near_field,1,6,-0.023652128833988,-4.70604082799226e-08
1.5,0,far_field_global,0,1,-42186.1407320486,-0.83937349595002
1.5,0,far_field_global,0,2,1.25685813972988e-12,2.50075828779676e-17
1.5,0,far_field_global,0,3,0,0
1.5,0,far_field_global,0,4,0,0
1.5,0,far_field_global,0,5,0,0
1.5,0,far_field_global,0,6,-1.33188536338961e-09,-2.65003921731978e-15
1.5,45,near_field,1,1,58892.9847359354,1.17178792909063
1.5,45,near_field,1,2,58893.9002368449,1.17180614472225
1.5,45,near_field,1,3,90531.1804593798,1.80128999989191
1.5,45,near_field,1,4,77.8346625368221,0.000154866863064319
1.5,45,near_field,1,5,-77.8176978249763,-0.000154833108543894
1.5,45,near_field,1,6,-0.0169823400442649,-3.37895950779341e-08
1.5,45,far_field_global,0,1,-29833.2704822225,-0.593589650670792
1.5,45,far_field_global,0,2,-29833.2704822224,-0.593589650670791
1.5,45,far_field_global,0,3,0,0
1.5,45,far_field_global,0,4,0,0
1.5,45,far_field_global,0,5,0,0
1.5,45,far_field_global,0,6,1.31467176396555e-09,2.61578948772675e-15
1.5,90,near_field,1,1,-0.378076533497176,-7.5225516283622e-06
1.5,90,near_field,1,2,83103.7468834683,1.6535070840251
1.5,90,near_field,1,3,90520.8917875555,1.80108528719982
1.5,90,near_field,1,4,103.189189580487,0.000205314516330295
1.5,90,near_field,1,5,-0.0256687029999731,-5.10727660784151e-08
1.5,90,near_field,1,6,0.00499532149817358,9.93914208921911e-09
1.5,90,far_field_global,0,1,-7.56153234598455e-12,-1.50451065915268e-16
1.5,90,far_field_global,0,2,-42186.1407320482,-0.839373495950012
1.5,90,far_field_global,0,3,0,0
1.5,90,far_field_global,0,4,0,0
1.5,90,far_field_global,0,5,0,0
1.5,90,far_field_global,0,6,-1.43308053336232e-09,-2.85138625243437e-15
1.6,0,near_field,1,1,52032.6379350553,1.03528828305144
1.6,0,near_field,1,2,-0.796465308697367,-1.58471919678669e-05
1.6,0,near_field,1,3,51473.5553280983,1.02416427136933
1.6,0,near_field,1,4,-0.000297230828809927,-5.91397258798731e-10
1.6,0,near_field,1,5,-119.906806946463,-0.000238577395297021
1.6,0,near_field,1,6,-0.0219315725511488,-4.36370343541622e-08
1.6,0,far_field_global,0,1,-15127.1081638706,-0.300982584393555
1.6,0,far_field_global,0,2,-4.58302251088529e-12,-9.11879484642448e-17
1.6,0,far_field_global,0,3,0,0
1.6,0,far_field_global,0,4,0,0
1.6,0,far_field_global,0,5,0,0
1.6,0,far_field_global,0,6,6.83121155628185e-10,1.35919944940932e-15
1.6,45,near_field,1,1,36948.5200408388,0.735161071827966
1.6,45,near_field,1,2,36949.4024920827,0.735178629873634
1.6,45,near_field,1,3,51465.2176333278,1.02399837707594
1.6,45,near_field,1,4,95.1826247126736,0.000189383932904014
1.6,45,near_field,1,5,-95.1660014876847,-0.000189350857836632
1.6,45,near_field,1,6,-0.0166529910174881,-3.31342925563091e-08
1.6,45,far_field_global,0,1,-10697.639188671,-0.21284987553709
1.6,45,far_field_global,0,2,-10697.639188671,-0.21284987553709
1.6,45,far_field_global,0,3,0,0
1.6,45,far_field_global,0,4,0,0
1.6,45,far_field_global,0,5,0,0
1.6,45,far_field_global,0,6,1.3729378555504e-09,2.73172095749443e-15
1.6,90,near_field,1,1,-0.258577778924346,-5.14489665336542e-06
1.6,90,near_field,1,2,52034.2030371951,1.03531942373489
1.6,90,near_field,1,3,51473.3345572803,1.02415987871406
1.6,90,near_field,1,4,119.941660417948,0.000238646742906683
1.6,90,near_field,1,5,-0.0144479159168621,-2.8746876300812e-08
1.6,90,near_field,1,6,0.00240914441716839,4.79345096895974e-09
1.6,90,far_field_global,0,1,-6.9167749695696e-13,-1.37622391765659e-17
1.6,90,far_field_global,0,2,-15127.1081638702,-0.300982584393547
1.6,90,far_field_global,0,3,0,0
1.6,90,far_field_global,0,4,0,0
1.6,90,far_field_global,0,5,0,0
1.6,90,far_field_global,0,6,-6.28485547196256e-10,-1.25049151628942e-15
1.7,0,near_field,1,1,23016.1908347069,0.457950886929651
1.7,0,near_field,1,2,-0.861122872173664,-1.71336771535923e-05
1.7,0,near_field,1,3,44816.6797919322,0.891713073086314
1.7,0,near_field,1,4,-0.00133393397041138,-2.6541153105766e-09
1.7,0,near_field,1,5,-76.0297411135862,-0.00015127562864788
1.7,0,near_field,1,6,-0.0246428356068476,-4.90316078088824e-08
1.7,0,far_field_global,0,1,-4461.36493543141,-0.088767339642354
1.7,0,far_field_global,0,2,9.87124189649242e-12,1.96407129835713e-16
1.7,0,far_field_global,0,3,0,0
1.7,0,far_field_global,0,4,0,0
1.7,0,far_field_global,0,5,0,0
1.7,0,far_field_global,0,6,-6.21293527348507e-11,-1.23618162508394e-16
1.7,45,near_field,1,1,16397.8038352729,0.326265491279208
1.7,45,near_field,1,2,16398.6187437288,0.326281705432663
1.7,45,near_field,1,3,44794.1125552201,0.891264054995436
1.7,45,near_field,1,4,60.0257191262465,0.000119432583392572
1.7,45,near_field,1,5,-60.0102349712588,-0.000119401774721576
1.7,45,near_field,1,6,-0.0154503619151557,-3.07414332512409e-08
1.7,45,far_field_global,0,1,-3155.75163995892,-0.062789680222396
1.7,45,far_field_global,0,2,-3155.75163995892,-0.062789680222396
1.7,45,far_field_global,0,3,0,0
1.7,45,far_field_global,0,4,0,0
1.7,45,far_field_global,0,5,0,0
1.7,45,far_field_global,0,6,-2.93343625638597e-10,-5.83662928853473e-16
1.7,90,near_field,1,1,-0.28531055679353,-5.67679610724141e-06
1.7,90,near_field,1,2,23018.0481883632,0.457987842512803
1.7,90,near_field,1,3,44816.9817576556,0.891719081268634
1.7,90,near_field,1,4,76.0639861162242,0.000151343765593057
1.7,90,near_field,1,5,-0.0078006860841286,-1.55209484338288e-08
1.7,90,near_field,1,6,0.000223555503579713,4.44806188294007e-10
