omega_rad_s,heading_deg,method,body,dof,load,Cd
0.9,0,near_field,2,2,-0.583283529924453,-1.16055350678431e-05
0.9,0,near_field,2,3,40706.3045070024,0.809929340023547
0.9,0,near_field,2,4,-0.0145908869986008,-2.90313444569797e-08
0.9,0,near_field,2,5,-3.60532963188267,-7.17348893416684e-06
0.9,0,near_field,2,6,0.00373891129302828,7.43927505246283e-09
0.9,0,far_field_global,0,1,-21674.8516831411,-0.431262393662262
0.9,0,far_field_global,0,2,-0.0923327100586157,-1.83713485726753e-06
0.9,0,far_field_global,0,3,0,0
0.9,0,far_field_global,0,4,0,0
0.9,0,far_field_global,0,5,0,0
0.9,0,far_field_global,0,6,11.474305404038,2.28303126890884e-05
0.9,45,near_field,1,1,10884.4501833525,0.216566835537856
0.9,45,near_field,1,2,9482.69370036841,0.188676224565255
0.9,45,near_field,1,3,43445.0827087626,0.864422540727654
0.9,45,near_field,1,4,11.9356597998559,2.37482649961014e-05
0.9,45,near_field,1,5,-13.2103374399298,-2.62844785685965e-05
0.9,45,near_field,1,6,0.387646845058561,7.71297117689674e-07
0.9,45,near_field,2,1,7910.44207234736,0.157393288448689
0.9,45,near_field,2,2,6825.96098426068,0.135815474825471
0.9,45,near_field,2,3,40195.3079864535,0.799762092476641
0.9,45,near_field,2,4,10.3438833762716,2.05811230906089e-05
0.9,45,near_field,2,5,-11.7247763377643,-2.33286722442112e-05
0.9,45,near_field,2,6,0.307800416457148,6.12427463458949e-07
0.9,45,far_field_global,0,1,-21787.665742563,-0.433507043914835
0.9,45,far_field_global,0,2,2018.61812078895,0.0401642463527713
0.9,45,far_field_global,0,3,0,0
0.9,45,far_field_global,0,4,0,0
0.9,45,far_field_global,0,5,0,0
0.9,45,far_field_global,0,6,-10147.1068800228,-0.0201895988300081
0.9,90,near_field,1,1,373.339491833545,0.0074282991759533
0.9,90,near_field,1,2,16036.250220073,0.31907169453228
0.9,90,near_field,1,3,41354.502882976,0.822826479403182
0.9,90,near_field,1,4,5.50738918822683,1.09579981393449e-05
0.9,90,near_field,1,5,-0.574689563759144,-1.14345417676958e-06
0.9,90,near_field,1,6,0.279548561283814,5.56215024889286e-07
0.9,90,near_field,2,1,-370.706712385257,-0.00737591502202911
0.9,90,near_field,2,2,16041.5332307563,0.319176810076614
0.9,90,near_field,2,3,41353.4001715889,0.822804538863091
0.9,90,near_field,2,4,5.49381487338456,1.09309894585161e-05
0.9,90,near_field,2,5,0.549913108353844,1.09415670696098e-06
0.9,90,near_field,2,6,-0.285281640452208,-5.67622076164012e-07
0.9,90,far_field_global,0,1,0.0952027217430764,1.89423919767886e-06
0.9,90,far_field_global,0,2,3159.47308179208,0.0628637253847946
0.9,90,far_field_global,0,3,0,0
0.9,90,far_field_global,0,4,0,0
0.9,90,far_field_global,0,5,0,0
0.9,90,far_field_global,0,6,-21.9416159628375,-4.36570176316892e-05
1,0,near_field,1,1,17415.9629561626,0.346523703239453
1,0,near_field,1,2,-1.80930354514532,-3.59995348133293e-05
1,0,near_field,1,3,50528.9006733674,1.00536857054798
1,0,near_field,1,4,-0.0149985269653322,-2.98424216923626e-08
1,0,near_field,1,5,-3.39767307635273,-6.76031672654727e-06
1,0,near_field,1,6,-0.0267848337058745,-5.32935203742399e-08
1,0,near_field,2,1,15053.1535693401,0.299511117094686
1,0,near_field,2,2,-2.23055814227579,-4.4381196130118e-05
1,0,near_field,2,3,49861.8555966262,0.992096440215492
1,0,near_field,2,4,-0.0288695741871159,-5.74415080202364e-08
1,0,near_field,2,5,-10.424244457482,-2.07410167440775e-05
1,0,near_field,2,6,-0.0154244873886651,-3.0689950960186e-08
1,0,far_field_global,0,1,-29511.2637361761,-0.587182714092611
1,0,far_field_global,0,2,-0.482825889234396,-9.6067392643473e-06
1,0,far_field_global,0,3,0,0
1,0,far_field_global,0,4,0,0
1,0,far_field_global,0,5,0,0
1,0,far_field_global,0,6,23.8530303150331,4.74601399822308e-05
1,45,near_field,1,1,16168.6358893354,0.321705759182285
1,45,near_field,1,2,14128.9395151086,0.281122120892503
1,45,near_field,1,3,51070.3054054588,1.01614084729133
1,45,near_field,1,4,17.4774598999135,3.47747301885139e-05
1,45,near_field,1,5,-17.9325633663439,-3.56802450827608e-05
1,45,near_field,1,6,-0.0424000762173065,-8.43630149273898e-08
1,45,near_field,2,1,12582.1660211661,0.250346120705621
1,45,near_field,2,2,10855.1015192296,0.215982888052288
1,45,near_field,2,3,48297.9628487973,0.96097981991657
1,45,near_field,2,4,15.9970129969522,3.18290995360211e-05
1,45,near_field,2,5,-19.0313211651202,-3.78664326760255e-05
1,45,near_field,2,6,0.898499042426421,1.78773471396559e-06
1,45,far_field_global,0,1,-38952.2634516339,-0.775029357537925
1,45,far_field_global,0,2,4426.86814533203,0.0880809604002069
1,45,far_field_global,0,3,0,0
1,45,far_field_global,0,4,0,0
1,45,far_field_global,0,5,0,0
1,45,far_field_global,0,6,-18279.1886189369,-0.0363699219410958
1,90,near_field,1,1,551.147486565516,0.0109661273715686
1,90,near_field,1,2,24188.6637936537,0.481279466159237
1,90,near_field,1,3,49071.1973616341,0.9763647910224
1,90,near_field,1,4,12.007596483166,2.38913967078656e-05
1,90,near_field,1,5,-0.409944541435123,-8.15662625020872e-07
1,90,near_field,1,6,0.00381948441397623,7.59959059931329e-09
1,90,near_field,2,1,-546.526211651629,-0.0108741783188014
1,90,near_field,2,2,24193.4418237536,0.481374534154533
1,90,near_field,2,3,49068.4249233494,0.976309628090335
1,90,near_field,2,4,12.0021462187708,2.38805523703656e-05
1,90,near_field,2,5,0.363424666662465,7.23102487398663e-07
1,90,near_field,2,6,0.0162780161338957,3.23882087158044e-08
1,90,far_field_global,0,1,-0.940812488396031,-1.87192536154057e-05
1,90,far_field_global,0,2,9576.77220609989,0.190548095347443
1,90,far_field_global,0,3,0,0
1,90,far_field_global,0,4,0,0
1,90,far_field_global,0,5,0,0
1,90,far_field_global,0,6,-84.7939184195897,-0.000168713626096358
1.1,0,near_field,1,1,32397.5648065562,0.644611162814605
1.1,0,near_field,1,2,-9.9810295868888,-0.000198591564721227
1.1,0,near_field,1,3,56776.8847426968,1.12968409550258
1.1,0,near_field,1,4,-0.105415081201763,-2.09743351012338e-07
1.1,0,near_field,1,5,-10.1868429436157,-2.02686612851995e-05
1.1,0,near_field,1,6,-0.068782827771988,-1.36856516397199e-07
1.1,0,near_field,2,1,38149.9397209707,0.759065601123989
1.1,0,near_field,2,2,-12.9876059881593,-0.000258413119880883
1.1,0,near_field,2,3,64181.5123242043,1.27701324274017
1.1,0,near_field,2,4,-0.0525436803561313,-1.04545644387662e-07
