stage,mesh_level,omega_rad_s,component,panel_count,minimum_panel_area_m2,maximum_panel_area_m2,median_panel_area_m2,mean_sqrt_area_m,median_sqrt_area_m,minimum_edge_length_m,maximum_aspect_ratio,maximum_skewness_deg,minimum_corner_angle_deg,maximum_corner_angle_deg,maximum_warp_deg,poor_panel_count,poor_panel_fraction,finite_positive_geometry,component_gate_pass,component_gate_status
mesh_audit,MESH_L2,0.6,free_surface,1480,1.4214978011248,5431.69623577725,521.906503281545,20.8668296057818,22.8452726581432,0.784590956591433,41.8642994968663,57.3895128119199,32.6104871880801,103.604411676276,0,232,0.156756756756757,1,0,FAIL
mesh_audit,MESH_L2,0.6,bottom,1780,0.125000000004756,5431.69623577725,216.528212726605,12.299977310065,14.714897645808,0.3535533906,41.8642994968663,71.1695884784564,18.8304115215436,135,0,1032,0.579775280898876,1,0,FAIL
mesh_audit,MESH_L2,0.6,farfield,880,382.820949406245,488.618112566834,435.719530986539,20.8584619142466,20.8738959225761,12.0646057333093,3.39552665504386,2.08412394827431,87.9158760517257,92.0841239482743,1.4787793334711e-06,0,0,1,1,PASS
mesh_audit,MESH_L3,0.6,body,588,0.234131195130669,0.312429588071844,0.261403662059209,0.515651584165798,0.511276502549461,0.397414634867714,1.41088028264537,29.7422934746887,63.7439059459357,119.742293474689,5.01605271391314,0,0,1,1,PASS
mesh_audit,MESH_L3,0.6,free_surface,2856,0.81205358608661,3068.19990432778,267.700298393282,15.5030868711735,16.3615493885293,0.560704471902171,9.89828530263422,57.623500397823,32.376499602177,93.3370298351061,0,432,0.151260504201681,1,0,FAIL
mesh_audit,MESH_L3,0.6,bottom,3444,0.0637755102065082,3068.19990432778,111.609277427294,9.17956270989817,10.5645292099219,0.252538136142857,9.89828530263422,71.4916806052723,18.5083193947277,135,0,1996,0.579558652729384,1,0,FAIL
mesh_audit,MESH_L3,0.6,farfield,1456,230.987353890711,295.943663333238,263.465508611973,16.2195904675603,16.2316206403419,10.2085125435694,2.86671455956448,1.48868658644882,88.5113134135512,91.4886865864488,1.70754729250319e-06,0,0,1,1,PASS
mesh_audit,MESH_L1,1,body,192,0.739049755021611,0.942747006482709,0.814004168309055,0.899901370359355,0.902189145691737,0.698109849247914,1.40403606215522,29.2527305045578,66.5620538048336,119.252730504558,7.58291583832407,0,0,1,1,PASS
mesh_audit,MESH_L1,1,free_surface,928,2.36408675089334,1095.89308497788,135.446949952888,11.3249579189456,11.6381665663911,0.980171403034624,10.2077377132796,58.3764924852621,31.6235075147379,95.8220677739652,0,160,0.172413793103448,1,0,FAIL
mesh_audit,MESH_L1,1,bottom,1120,0.195312500007431,1095.89308497788,61.1935585700223,7.03294430954117,7.82263109212068,0.44194173825,10.2077377132796,70.8956936853898,19.1043063146102,135,0,620,0.553571428571429,1,0,FAIL
mesh_audit,MESH_L1,1,farfield,256,291.152204200107,349.008969554841,320.080586877474,17.880624065148,17.8887658975396,16.5483597880129,1.23867129879395,1.90848586411863,88.0915141358814,91.9084858641186,1.4787793334711e-06,0,0,1,1,PASS
mesh_audit,MESH_L2,1,body,300,0.466784818516517,0.608129616389175,0.519585775432755,0.720984429031345,0.720822984811636,0.557360828109397,1.40768945026193,29.5094893500022,65.2486095720126,119.509489350002,6.49915624280425,0,0,1,1,PASS
mesh_audit,MESH_L2,1,free_surface,1480,1.42149780112481,700.470401493044,87.0941030264924,9.05569956777958,9.33242210389377,0.784590956591433,5.43300793623674,58.6520486284946,31.3479513715054,94.8071923837951,0,272,0.183783783783784,1,0,FAIL
mesh_audit,MESH_L2,1,bottom,1780,0.125000000004756,700.470401493044,39.179982921543,5.67009580891218,6.25939157758508,0.3535533906,5.43300793623674,71.1695884784563,18.8304115215436,135,0,992,0.557303370786517,1,0,FAIL
mesh_audit,MESH_L2,1,farfield,480,153.619784911641,187.91708239411,170.768433652876,13.0601328529055,13.067180689035,11.3471729754995,1.48662049842222,1.52690784187659,88.4730921581234,91.5269078418766,1.4787793334711e-06,0,0,1,1,PASS
mesh_audit,MESH_L3,1,body,588,0.234131195130669,0.312429588071844,0.261403662059209,0.515651584165798,0.511276502549461,0.397414634867714,1.41088028264537,29.7422934746887,63.7439059459357,119.742293474689,5.01605271391314,0,0,1,1,PASS
mesh_audit,MESH_L3,1,free_surface,2856,0.812053586086611,418.80825376422,44.5989747106689,6.56240172924333,6.6782463799016,0.560704471902171,5.04253119694241,58.9820958686761,31.0179041313239,93.5542006407632,0,576,0.201680672268908,1,0,FAIL
mesh_audit,MESH_L3,1,bottom,3444,0.0637755102065082,418.80825376422,20.0440895974943,4.08805660924758,4.47706260817227,0.252538136142857,5.04253119694241,71.4916806052722,18.5083193947278,135,0,1996,0.579558652729384,1,0,FAIL
mesh_audit,MESH_L3,1,farfield,784,93.7810673826245,115.385842304762,104.583454843693,10.2205280536922,10.2266052453242,9.45876375682538,1.23900639344591,1.09072254683537,88.9092774531646,91.0907225468354,1.4787793334711e-06,0,0,1,1,PASS
mesh_audit,MESH_L1,1.4,body,192,0.739049755021611,0.942747006482709,0.814004168309055,0.899901370359355,0.902189145691737,0.698109849247914,1.40403606215522,29.2527305045578,66.5620538048336,119.252730504558,7.58291583832407,0,0,1,1,PASS
mesh_audit,MESH_L1,1.4,free_surface,928,2.36408675089335,315.452881688005,44.5160567301534,6.72182477049916,6.67203533623754,0.980171403034624,4.48904976635737,60.0024201743933,29.9975798256067,96.5628728230736,0,224,0.241379310344828,1,0,FAIL
mesh_audit,MESH_L1,1.4,bottom,1120,0.195312500007431,315.452881688005,21.8372110986221,4.41130423821131,4.67303013161067,0.44194173825,4.48904976635737,70.8956936853898,19.1043063146102,135,0,620,0.553571428571429,1,0,FAIL
mesh_audit,MESH_L1,1.4,farfield,256,140.585527863157,164.563268737237,152.574398300197,12.3467953389107,12.3510414823987,9.88554656450692,1.39800986952325,1.19918070879709,88.8008192912029,91.1991807087971,1.4787793334711e-06,0,0,1,1,PASS
mesh_audit,MESH_L2,1.4,body,300,0.466784818516517,0.608129616389175,0.519585775432755,0.720984429031345,0.720822984811636,0.557360828109397,1.40768945026193,29.5094893500022,65.2486095720126,119.509489350002,6.49915624280425,0,0,1,1,PASS
mesh_audit,MESH_L2,1.4,free_surface,1480,1.42149780112481,198.179457782913,28.4876879823536,5.35632699824458,5.337385875347,0.784590956591433,3.25433548924294,60.2863650284476,29.7136349715523,95.4221802283235,0,360,0.243243243243243,1,0,FAIL
mesh_audit,MESH_L2,1.4,bottom,1780,0.125000000004756,198.179457782913,13.9815624044666,3.53719167180885,3.73919274770191,0.3535533906,3.25433548924294,71.1695884784563,18.8304115215436,135,0,992,0.557303370786517,1,0,FAIL
mesh_audit,MESH_L2,1.4,farfield,400,89.4832026771441,105.855664618635,97.6694336478893,9.87843738209406,9.88278471119802,7.90958084156374,1.39780774123349,0.959458084113052,89.0405419158869,90.9594580841131,1.20741826972573e-06,0,0,1,1,PASS
mesh_audit,MESH_L3,1.4,body,588,0.234131195130669,0.312429588071844,0.261403662059209,0.515651584165798,0.511276502549461,0.397414634867714,1.41088028264537,29.7422934746887,63.7439059459357,119.742293474689,5.01605271391314,0,0,1,1,PASS
mesh_audit,MESH_L3,1.4,free_surface,2856,0.81205358608661,115.757208251245,14.5309978499006,3.87291992165862,3.81195459542669,0.560704471902171,3.20069663756381,60.6255398473836,29.3744601526164,94.0112457412615,0,760,0.266106442577031,1,0,FAIL
mesh_audit,MESH_L3,1.4,bottom,3444,0.0637755102065082,115.757208251245,7.18163528013684,2.54423243820549,2.67985732458593,0.252538136142857,3.20069663756381,71.4916806052723,18.5083193947277,135,0,1996,0.579558652729384,1,0,FAIL
