study,level,omegaRadPerSecond,rawAReciprocityResidual,rawBReciprocityResidual,pressureEnergyMatrixResidual,pressureEnergyB33Residual,maxRadiationLinearResidual,maxDiffractionLinearResidual
OuterDomain,Coarse,1.5,9.82563930885572e-06,2.03088472323624e-05,0.999869422165555,0.999170110682879,4.25987247073139e-16,4.2858624331664e-16
OuterDomain,Coarse,1.6,1.04730527113644e-05,0.000346918741302942,0.999909775488813,0.99929303651797,4.30706035744198e-16,4.45822154133542e-16
OuterDomain,Coarse,1.7,1.00648147916678e-05,3.51844348320341e-05,0.99992473314453,1.0068263756972,4.22761400914104e-16,4.10607467866829e-16
OuterDomain,Coarse,1.8,1.0157545271302e-05,3.21654957106061e-05,0.999931047332698,1.00286853341074,3.90088819977068e-16,4.21042401998436e-16
OuterDomain,Coarse,1.9,1.0216137824496e-05,2.93772514938733e-05,0.999937953808702,1.00112455586912,3.84148899016046e-16,4.02364224193755e-16
OuterDomain,Coarse,2,1.02445811149333e-05,3.2775326778577e-05,0.999962160572038,1.00070811743141,4.10584781171591e-16,4.09318202945629e-16
OuterDomain,Medium,0.5,3.58545339865736e-05,0.000245605705945039,0.998698772669381,0.998698538503589,4.20291157254084e-16,4.16976939033772e-16
OuterDomain,Medium,0.6,5.35540400009462e-05,0.000332106020410548,0.997238454512221,0.99723662669443,4.70932479631126e-16,4.58324692896709e-16
OuterDomain,Medium,0.7,0.000116582555775032,0.000413202423425147,0.973340038075863,0.973259699574295,7.21797402464451e-16,8.04493470561752e-16
OuterDomain,Medium,0.8,0.000110096192142181,0.000136002968468771,0.989796861144313,0.989736283387699,2.05959587895926e-15,1.81608242261173e-15
OuterDomain,Medium,0.9,0.00010677953536994,0.00184488747324675,0.993744558076435,0.995026418604613,1.16984507073877e-15,1.74372052760548e-15
OuterDomain,Medium,1,8.00824203232256e-06,3.57101154061807e-05,0.978441061142337,0.976622662558842,1.06289705163593e-15,2.90258982926645e-15
OuterDomain,Medium,1.1,8.35913558458698e-06,5.7367592182812e-06,0.347823906887602,0.337693943068201,6.0475174162031e-14,1.0120368949535e-13
OuterDomain,Medium,1.2,3.75029923491592e-06,5.67990546477957e-05,0.97948749951345,0.978068614655438,4.09231086661525e-15,2.19976444174633e-15
OuterDomain,Medium,1.3,4.44783318842131e-05,5.31232557500505e-05,0.822853021844635,0.988920428799255,3.1154277334853e-15,1.87782479925739e-15
OuterDomain,Medium,1.4,1.22250387859806e-05,8.21246769881953e-06,0.991143901974385,0.98740710154913,1.11527618118937e-15,1.80131638067969e-15
OuterDomain,Medium,1.5,1.31910131220811e-05,3.92869151444923e-05,0.996248415100335,0.963504630751388,2.52158188133994e-15,1.88810108798301e-15
OuterDomain,Medium,1.6,1.76747806613409e-05,2.8271916471958e-05,0.997008519132096,0.976698694878661,4.10790981489716e-15,8.54920357288765e-15
OuterDomain,Medium,1.7,4.90731201820968e-05,1.89163247004013e-05,0.962181630046153,0.928514989777877,5.18959477133137e-15,4.587464603482e-15
OuterDomain,Medium,1.8,0.000240488351834103,0.000192391556128683,0.894983956311084,0.919344584007531,5.82529096740105e-15,4.11215068841258e-15
