omegaRadPerSecond,level,quantity,characteristicMeshSizeM,value,zeroMeshExtrapolate,absoluteErrorToExtrapolate,coarseMinusMedium,mediumMinusFine
0.6,Fine,RAO3,0.516146222830692,1.01153116232352,1.01077208904242,0.000759073281101807,0.00272991625184749,0.000753962447802126
0.7,Coarse,A33,1.1970141330561,223171.030194819,224703.682005907,1532.65181108844,-768.738543775689,-267.037973324623
0.7,Coarse,B33,1.1970141330561,1430.98326710327,1424.42282404494,6.56044305833734,5.72728770369895,1.20257565601014
0.7,Coarse,F3,1.1970141330561,554588.372031413,559372.858804744,4784.48677333037,-3210.62607382459,-853.423793164548
0.7,Coarse,RAO3,1.1970141330561,1.02770304529295,1.02114370182146,0.00655934347148501,0.00423149182193439,0.00116585353432996
0.7,Medium,A33,0.721650583949818,223939.768738595,224703.682005907,763.913267312746,-768.738543775689,-267.037973324623
0.7,Medium,B33,0.721650583949818,1425.25597939957,1424.42282404494,0.833155354638393,5.72728770369895,1.20257565601014
0.7,Medium,F3,0.721650583949818,557798.998105238,559372.858804744,1573.86069950578,-3210.62607382459,-853.423793164548
0.7,Medium,RAO3,0.721650583949818,1.02347155347101,1.02114370182146,0.00232785164955063,0.00423149182193439,0.00116585353432996
0.7,Fine,A33,0.516146222830692,224206.806711919,224703.682005907,496.875293988123,-768.738543775689,-267.037973324623
0.7,Fine,B33,0.516146222830692,1424.05340374356,1424.42282404494,0.369420301371747,5.72728770369895,1.20257565601014
0.7,Fine,F3,0.516146222830692,558652.421898403,559372.858804744,720.43690634123,-3210.62607382459,-853.423793164548
0.7,Fine,RAO3,0.516146222830692,1.02230569993668,1.02114370182146,0.00116199811522066,0.00423149182193439,0.00116585353432996
0.8,Coarse,A33,1.1970141330561,109596.608250791,111141.078823092,1544.47057230106,-1050.57695039184,-275.837995937167
0.8,Coarse,B33,1.1970141330561,864.588965024877,867.594459503046,3.005494478169,1.60469427997407,-0.447621287725383
0.8,Coarse,F3,1.1970141330561,562958.932550172,566699.785588129,3740.85303795745,-2404.28193510883,-664.677539287484
0.8,Coarse,RAO3,1.1970141330561,1.04522858907563,1.03694599294567,0.0082825961299593,0.00532962709030116,0.00147181230813098
0.8,Medium,A33,0.721650583949818,110647.185201183,111141.078823092,493.893621909214,-1050.57695039184,-275.837995937167
0.8,Medium,B33,0.721650583949818,862.984270744903,867.594459503046,4.61018875814307,1.60469427997407,-0.447621287725383
0.8,Medium,F3,0.721650583949818,565363.21448528,566699.785588129,1336.57110284863,-2404.28193510883,-664.677539287484
0.8,Medium,RAO3,0.721650583949818,1.03989896198533,1.03694599294567,0.00295296903965814,0.00532962709030116,0.00147181230813098
0.8,Fine,A33,0.516146222830692,110923.02319712,111141.078823092,218.055625972047,-1050.57695039184,-275.837995937167
0.8,Fine,B33,0.516146222830692,863.431892032629,867.594459503046,4.16256747041768,1.60469427997407,-0.447621287725383
0.8,Fine,F3,0.516146222830692,566027.892024568,566699.785588129,671.893563561141,-2404.28193510883,-664.677539287484
0.8,Fine,RAO3,0.516146222830692,1.0384271496772,1.03694599294567,0.00148115673152716,0.00532962709030116,0.00147181230813098
0.9,Coarse,A33,1.1970141330561,144097.755795667,145673.094427507,1575.33863183993,-949.892193148262,-278.37811695144
0.9,Coarse,B33,1.1970141330561,444.337969415655,443.061390391321,1.27657902433384,2.10817610660314,0.258283658437676
0.9,Coarse,F3,1.1970141330561,483119.241596303,485697.469389776,2578.22779347363,-1752.50131731376,-460.433370780898
0.9,Coarse,RAO3,1.1970141330561,1.08224694693871,1.06979296367866,0.0124539832600479,0.00804668693506483,0.00221386868422124
0.9,Medium,A33,0.721650583949818,145047.647988815,145673.094427507,625.446438691666,-949.892193148262,-278.37811695144
0.9,Medium,B33,0.721650583949818,442.229793309052,443.061390391321,0.831597082269298,2.10817610660314,0.258283658437676
0.9,Medium,F3,0.721650583949818,484871.742913617,485697.469389776,825.726476159878,-1752.50131731376,-460.433370780898
0.9,Medium,RAO3,0.721650583949818,1.07420026000364,1.06979296367866,0.00440729632498305,0.00804668693506483,0.00221386868422124
0.9,Fine,A33,0.516146222830692,145326.026105766,145673.094427507,347.068321740226,-949.892193148262,-278.37811695144
0.9,Fine,B33,0.516146222830692,441.971509650614,443.061390391321,1.08988074070697,2.10817610660314,0.258283658437676
