mesh_level,mesh_level_index,omega_rad_s,topology_mode,component,panel_count,minimum_panel_area_m2,maximum_panel_area_m2,median_panel_area_m2,mean_sqrt_area_m,median_sqrt_area_m,minimum_edge_length_m,maximum_aspect_ratio,maximum_skewness_deg,minimum_corner_angle_deg,maximum_corner_angle_deg,maximum_warp_deg,poor_panel_count,poor_panel_fraction,finite_positive_geometry,duplicate_panel_count,component_gate_pass,component_gate_status,requested_near_radial_step_m,realized_near_radial_step_m,requested_outer_radial_step_max_m,realized_outer_radial_step_m,configured_outer_radial_layer_count,realized_outer_radial_layer_count,base_theta_count,final_wall_theta_count,transition_median_sqrt_area_m,manifold_status,orientation_status,waterline_status,self_intersection_status,runtime_provenance
MESH_L3,3,0.5,QUALITY_CONTROLLED_V2,bottom,3276,0.0637755102065082,662.266770592071,330.950840389067,13.7068501988256,18.1920543201989,0.252538136142857,7.73516831844286,49.2101257925877,40.7898742074123,135,0,0,0,1,0,1,PASS,2.49999999998807,2.49999999998807,17.942543124655,17.3485738688636,4,19,56,112,13.3598030932429,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L3,3,0.5,QUALITY_CONTROLLED_V2,farfield,1904,300.67173553503,388.789633867559,344.730684701294,18.5526589885329,18.5669244814884,10.1311152884218,3.81611776992685,1.53790988099574,88.4620901190043,91.5379098809957,1.4787793334711e-06,0,0,1,0,1,PASS,2.49999999998807,2.49999999998807,17.942543124655,17.3485738688636,4,19,56,112,13.3598030932429,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L1,1,0.6,QUALITY_CONTROLLED_V2,body,192,0.739049755021611,0.942747006482709,0.814004168309055,0.899901370359355,0.902189145691737,0.698109849247914,1.40403606215522,29.2527305045578,66.5620538048336,119.252730504558,7.58291583832407,0,0,1,0,1,PASS,3.74999999994608,3.74999999994608,31.3654849166758,30.7328408338747,2,8,32,64,19.3085225779798,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L1,1,0.6,QUALITY_CONTROLLED_V2,free_surface,992,5.02967236261267,1501.89564760904,949.102826760261,27.183342935636,30.8075125052358,0.980171403034624,7.83863943114134,46.4391238077061,43.5608761922939,95.6250000282519,0,0,0,1,0,1,PASS,3.74999999994608,3.74999999994608,31.3654849166758,30.7328408338747,2,8,32,64,19.3085225779798,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L1,1,0.6,QUALITY_CONTROLLED_V2,bottom,928,0.195312500007431,1501.89564760904,580.574279886594,18.8633999026327,24.0951090449202,0.44194173825,7.83863943114134,46.4391238077061,43.5608761922939,135,0,0,0,1,0,1,PASS,3.74999999994608,3.74999999994608,31.3654849166758,30.7328408338747,2,8,32,64,19.3085225779798,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L1,1,0.6,QUALITY_CONTROLLED_V2,farfield,512,661.041211130504,835.970684693897,748.505947912199,27.3387591209643,27.3578836725403,16.5888328833003,3.08639610911754,2.60510139935108,87.3948986006489,92.6051013993511,1.4787793334711e-06,0,0,1,0,1,PASS,3.74999999994608,3.74999999994608,31.3654849166758,30.7328408338747,2,8,32,64,19.3085225779798,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L2,2,0.6,QUALITY_CONTROLLED_V2,body,300,0.466784818516517,0.608129616389175,0.519585775432755,0.720984429031345,0.720822984811636,0.557360828109397,1.40768945026193,29.5094893500022,65.2486095720126,119.509489350002,6.49915624280425,0,0,1,0,1,PASS,3.00000000001295,3.00000000001295,25.1069106471923,24.5862726670998,3,10,40,80,15.3174895973895,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L2,2,0.6,QUALITY_CONTROLLED_V2,free_surface,1520,3.05047206555219,975.26424920527,636.988238518136,21.9427155842539,25.2386259237332,0.784590956591433,7.83410529416432,46.1462439483929,43.8537560516071,94.500000043753,0,0,0,1,0,1,PASS,3.00000000001295,3.00000000001295,25.1069106471923,24.5862726670998,3,10,40,80,15.3174895973895,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L2,2,0.6,QUALITY_CONTROLLED_V2,bottom,1420,0.125000000004756,975.26424920527,407.890707328042,15.1748173921785,20.1963042987583,0.3535533906,7.83410529416432,46.1462439483929,43.8537560516071,135,0,0,0,1,0,1,PASS,3.00000000001295,3.00000000001295,25.1069106471923,24.5862726670998,3,10,40,80,15.3174895973895,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L2,2,0.6,QUALITY_CONTROLLED_V2,farfield,880,382.820949406246,488.618112566834,435.719530986539,20.8584619142466,20.8738959225761,12.0646057333093,3.39552665504385,2.08412394827425,87.9158760517257,92.0841239482742,1.4787793334711e-06,0,0,1,0,1,PASS,3.00000000001295,3.00000000001295,25.1069106471923,24.5862726670998,3,10,40,80,15.3174895973895,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L3,3,0.6,QUALITY_CONTROLLED_V2,body,588,0.234131195130669,0.312429588071844,0.261403662059209,0.515651584165798,0.511276502549461,0.397414634867714,1.41088028264537,29.7422934746887,63.7439059459357,119.742293474689,5.01605271391314,0,0,1,0,1,PASS,2.49999999998807,2.49999999998807,17.942543124655,17.5616233336427,4,14,56,112,10.8323559344608,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L3,3,0.6,QUALITY_CONTROLLED_V2,free_surface,2856,1.74944493785932,505.494502624078,332.839338230208,16.1331108415711,18.2438849544226,0.560704471902171,7.83016018824596,45.8145311878244,44.1854688121756,93.2142857766388,0,0,0,1,0,1,PASS,2.49999999998807,2.49999999998807,17.942543124655,17.5616233336427,4,14,56,112,10.8323559344608,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L3,3,0.6,QUALITY_CONTROLLED_V2,bottom,2660,0.0637755102065082,505.494502624078,228.454789817077,11.1204202829105,15.1147209639172,0.252538136142857,7.83016018824596,45.8145311878244,44.1854688121756,135,0,0,0,1,0,1,PASS,2.49999999998807,2.49999999998807,17.942543124655,17.5616233336427,4,14,56,112,10.8323559344608,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L3,3,0.6,QUALITY_CONTROLLED_V2,farfield,1456,230.987353890711,295.943663333237,263.465508611973,16.2195904675602,16.2316206403419,10.2085125435694,2.86671455956448,1.48868658644884,88.5113134135512,91.4886865864488,1.4787793334711e-06,0,0,1,0,1,PASS,2.49999999998807,2.49999999998807,17.942543124655,17.5616233336427,4,14,56,112,10.8323559344608,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
