mesh_level,omega_rad_s,component,event_type,event_rank,panel_id,generator_region,ring_index,sector_index,scheduler,is_triangle,is_poor,area_m2,sqrt_area_m,aspect_ratio,aspect_limit,minimum_angle_deg,maximum_angle_deg,skewness_deg,warp_deg,center_x_m,center_y_m,center_z_m,v1_x_m,v1_y_m,v1_z_m,v2_x_m,v2_y_m,v2_z_m,v3_x_m,v3_y_m,v3_z_m,v4_x_m,v4_y_m,v4_z_m,body_division_count,fs_radial_counts,bottom_radial_counts,configured_wall_theta_count,legacy_theta_count,final_wall_theta_count,radial_scheduler_candidate,metric_bug,root_cause_status,runtime_provenance
MESH_L1,0.5,bottom,WORST_ASPECT_RATIO,1,159,BOTTOM_MIRRORED_FS_POLAR_RING,5,31,bottomReferenceSurface mirrored from FS producer,0,1,1269.01480811316,35.6232341051899,25.701280867429,12,50.7331220396632,140.517039838279,50.5170398382791,0,57.3366090077498,-32.1989969520577,-50,7.65366864715724,-18.4775906502856,-50,100.676736070249,-57.2148287405149,-50,109.904626654373,-36.4741761705964,-50,11.1114046592199,-16.6293922468341,-50,4,4|2,4|2,64,32,64,RADIAL_GRADING_OR_FIXED_RING_COUNT,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,bottom,WORST_MINIMUM_ANGLE,1,401,BOTTOM_OUTER_TRUNCATION_TRANSITION,NaN,NaN,prepare_horizontal_surface + zipper_annulus,1,1,704.77248547406,26.547551402607,3.04377764650423,12,19.1043063146102,85.0000000000003,70.8956936853898,0,91.7718405662412,-351.152853561186,-50,68.2080448281967,-342.904997453179,-50,72.4710476299591,-364.336559794003,-50,134.636429240568,-346.217003436374,-50,134.636429240568,-346.217003436374,-50,4,4|2,4|2,64,32,64,COUNT_TRANSITION_OR_ZIPPER,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,bottom,WORST_ASPECT_RATIO,2,160,BOTTOM_MIRRORED_FS_POLAR_RING,5,32,bottomReferenceSurface mirrored from FS producer,0,1,1268.47963177041,35.6157216938027,25.7012808500566,12,50.7329601619452,140.511853354821,50.5118533548208,0,62.5147291349431,-20.3967040433853,-50,11.1114046592199,-16.6293922468341,-50,109.904626654373,-36.4741761705964,-50,114.900749602448,-14.3411121323797,-50,14.142135623731,-14.1421356237309,-50,4,4|2,4|2,64,32,64,RADIAL_GRADING_OR_FIXED_RING_COUNT,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,bottom,WORST_MINIMUM_ANGLE,2,417,BOTTOM_OUTER_TRUNCATION_TRANSITION,NaN,NaN,prepare_horizontal_surface + zipper_annulus,1,1,704.772485474058,26.547551402607,3.04377764650423,12,19.1043063146102,85.0000000000001,70.8956936853898,0,351.152853561186,91.7718405662412,-50,342.904997453179,68.2080448281968,-50,364.336559794003,72.4710476299591,-50,346.217003436375,134.636429240568,-50,346.217003436375,134.636429240568,-50,4,4|2,4|2,64,32,64,COUNT_TRANSITION_OR_ZIPPER,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,bottom,WORST_ASPECT_RATIO,3,158,BOTTOM_MIRRORED_FS_POLAR_RING,5,30,bottomReferenceSurface mirrored from FS producer,0,1,1269.00992617587,35.6231655833093,25.7012157158262,12,50.7332845186632,140.516877958381,50.5168779583807,0,49.9530104683935,-42.7661847691849,-50,3.90180644027924,-19.6157056080732,-50,87.5798307158885,-75.7566140778658,-50,100.676736070249,-57.2148287405149,-50,7.65366864715724,-18.4775906502856,-50,4,4|2,4|2,64,32,64,RADIAL_GRADING_OR_FIXED_RING_COUNT,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,bottom,WORST_MINIMUM_ANGLE,3,433,BOTTOM_OUTER_TRUNCATION_TRANSITION,NaN,NaN,prepare_horizontal_surface + zipper_annulus,1,1,704.772485474058,26.547551402607,3.04377764650423,12,19.1043063146102,85.0000000000001,70.8956936853898,0,-91.7718405662412,351.152853561186,-50,-68.2080448281967,342.904997453179,-50,-72.471047629959,364.336559794003,-50,-134.636429240568,346.217003436375,-50,-134.636429240568,346.217003436375,-50,4,4|2,4|2,64,32,64,COUNT_TRANSITION_OR_ZIPPER,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,bottom,WORST_ASPECT_RATIO,4,157,BOTTOM_MIRRORED_FS_POLAR_RING,5,29,bottomReferenceSurface mirrored from FS producer,0,1,1269.00505657601,35.623097234463,25.7011507435918,12,50.7334475273891,140.516715481113,50.5167154811128,0,40.6497203416918,-51.6898228533089,-50,-2.79543312993819e-15,-20,-50,71.1172442105995,-91.3869717272965,-50,87.5798307158885,-75.7566140778658,-50,3.90180644027924,-19.6157056080732,-50,4,4|2,4|2,64,32,64,RADIAL_GRADING_OR_FIXED_RING_COUNT,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,bottom,WORST_MINIMUM_ANGLE,4,385,BOTTOM_OUTER_TRUNCATION_TRANSITION,NaN,NaN,prepare_horizontal_surface + zipper_annulus,1,1,704.77248547406,26.547551402607,3.04377764650423,12,19.1043063146103,85.0000000000002,70.8956936853897,0,-351.152853561186,-91.7718405662412,-50,-342.904997453179,-68.2080448281967,-50,-364.336559794003,-72.4710476299591,-50,-346.217003436374,-134.636429240568,-50,-346.217003436374,-134.636429240568,-50,4,4|2,4|2,64,32,64,COUNT_TRANSITION_OR_ZIPPER,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,bottom,WORST_ASPECT_RATIO,5,156,BOTTOM_MIRRORED_FS_POLAR_RING,5,28,bottomReferenceSurface mirrored from FS producer,0,1,1269.00019926891,35.6230290580252,25.7010859528679,12,50.7336109964921,140.516552472484,50.5165524724844,0,29.7842726652855,-58.626977122208,-50,-3.90180644027924,-19.6157056080732,-50,51.9216528908217,-103.505231153462,-50,71.1172442105995,-91.3869717272965,-50,-2.79543312993819e-15,-20,-50,4,4|2,4|2,64,32,64,RADIAL_GRADING_OR_FIXED_RING_COUNT,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,bottom,WORST_MINIMUM_ANGLE,5,402,BOTTOM_OUTER_TRUNCATION_TRANSITION,NaN,NaN,prepare_horizontal_surface + zipper_annulus,1,1,769.426731216216,27.7385423412301,2.95132545585456,12,19.729306314454,85.0689835235965,70.270693685546,0,112.213122271221,-337.377148513149,-50,68.2080448281967,-342.904997453179,-50,134.636429240568,-346.217003436374,-50,133.794892744898,-323.009444649892,-50,133.794892744898,-323.009444649892,-50,4,4|2,4|2,64,32,64,COUNT_TRANSITION_OR_ZIPPER,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
