mesh_level,omega_rad_s,component,raw_panel_count,recomputed_panel_count,raw_maximum_aspect_ratio,recomputed_maximum_aspect_ratio,raw_minimum_corner_angle_deg,recomputed_minimum_corner_angle_deg,raw_poor_panel_fraction,recomputed_poor_panel_fraction,raw_status,recomputed_status,maximum_numeric_relative_difference,numeric_match,status_match,row_match
MESH_L1,0.6,farfield,512,512,3.08639610911754,3.08639610911754,87.3948986006489,87.3948986006489,0,0,PASS,PASS,2.56995561083283e-15,1,1,1
MESH_L2,0.6,body,300,300,1.40768945026193,1.40768945026193,65.2486095720126,65.2486095720126,0,0,PASS,PASS,2.68152772120524e-15,1,1,1
MESH_L2,0.6,free_surface,1480,1480,41.8642994968663,41.8642994968663,32.6104871880801,32.6104871880801,0.156756756756757,0.156756756756757,FAIL,FAIL,4.11493713982146e-15,1,1,1
MESH_L2,0.6,bottom,1780,1780,41.8642994968663,41.8642994968663,18.8304115215436,18.8304115215436,0.579775280898876,0.579775280898876,FAIL,FAIL,1.81077389951092e-15,1,1,1
MESH_L2,0.6,farfield,880,880,3.39552665504386,3.39552665504386,87.9158760517257,87.9158760517257,0,0,PASS,PASS,2.5030296834674e-15,1,1,1
MESH_L3,0.6,body,588,588,1.41088028264537,1.41088028264537,63.7439059459357,63.7439059459357,0,0,PASS,PASS,2.61093047963483e-15,1,1,1
MESH_L3,0.6,free_surface,2856,2856,9.89828530263422,9.89828530263422,32.376499602177,32.376499602177,0.151260504201681,0.151260504201681,FAIL,FAIL,2.60565568292051e-15,1,1,1
MESH_L3,0.6,bottom,3444,3444,9.89828530263422,9.89828530263422,18.5083193947277,18.5083193947277,0.579558652729384,0.579558652729384,FAIL,FAIL,4.03544382323886e-15,1,1,1
MESH_L3,0.6,farfield,1456,1456,2.86671455956448,2.86671455956448,88.5113134135512,88.5113134135512,0,0,PASS,PASS,3.06653806103703e-15,1,1,1
MESH_L1,1,body,192,192,1.40403606215522,1.40403606215522,66.5620538048336,66.5620538048336,0,0,PASS,PASS,1.57883647193927e-15,1,1,1
MESH_L1,1,free_surface,928,928,10.2077377132796,10.2077377132796,31.6235075147379,31.6235075147379,0.172413793103448,0.172413793103448,FAIL,FAIL,3.94208147915142e-15,1,1,1
MESH_L1,1,bottom,1120,1120,10.2077377132796,10.2077377132796,19.1043063146102,19.1043063146102,0.553571428571429,0.553571428571429,FAIL,FAIL,3.94208147915142e-15,1,1,1
MESH_L1,1,farfield,256,256,1.23867129879395,1.23867129879395,88.0915141358814,88.0915141358814,0,0,PASS,PASS,2.78040373428151e-15,1,1,1
MESH_L2,1,body,300,300,1.40768945026193,1.40768945026193,65.2486095720126,65.2486095720126,0,0,PASS,PASS,2.68152772120524e-15,1,1,1
MESH_L2,1,free_surface,1480,1480,5.43300793623674,5.43300793623674,31.3479513715054,31.3479513715054,0.183783783783784,0.183783783783784,FAIL,FAIL,2.4992748324966e-15,1,1,1
MESH_L2,1,bottom,1780,1780,5.43300793623674,5.43300793623674,18.8304115215436,18.8304115215436,0.557303370786517,0.557303370786517,FAIL,FAIL,2.64136508362031e-15,1,1,1
MESH_L2,1,farfield,480,480,1.48662049842222,1.48662049842222,88.4730921581234,88.4730921581234,0,0,PASS,PASS,2.571182215907e-15,1,1,1
MESH_L3,1,body,588,588,1.41088028264537,1.41088028264537,63.7439059459357,63.7439059459357,0,0,PASS,PASS,2.61093047963483e-15,1,1,1
MESH_L3,1,free_surface,2856,2856,5.04253119694241,5.04253119694241,31.0179041313239,31.0179041313239,0.201680672268908,0.201680672268908,FAIL,FAIL,2.20194233217322e-15,1,1,1
MESH_L3,1,bottom,3444,3444,5.04253119694241,5.04253119694241,18.5083193947278,18.5083193947278,0.579558652729384,0.579558652729384,FAIL,FAIL,1.09906472105773e-15,1,1,1
MESH_L3,1,farfield,784,784,1.23900639344591,1.23900639344591,88.9092774531646,88.9092774531646,0,0,PASS,PASS,3.86793828166126e-15,1,1,1
MESH_L1,1.4,body,192,192,1.40403606215522,1.40403606215522,66.5620538048336,66.5620538048336,0,0,PASS,PASS,1.57883647193927e-15,1,1,1
MESH_L1,1.4,free_surface,928,928,4.48904976635737,4.48904976635737,29.9975798256067,29.9975798256067,0.241379310344828,0.241379310344828,FAIL,FAIL,1.72481077039979e-15,1,1,1
MESH_L1,1.4,bottom,1120,1120,4.48904976635737,4.48904976635737,19.1043063146102,19.1043063146102,0.553571428571429,0.553571428571429,FAIL,FAIL,2.13162820719919e-15,1,1,1
MESH_L1,1.4,farfield,256,256,1.39800986952325,1.39800986952325,88.8008192912029,88.8008192912029,0,0,PASS,PASS,2.59229025796181e-15,1,1,1
MESH_L2,1.4,body,300,300,1.40768945026193,1.40768945026193,65.2486095720126,65.2486095720126,0,0,PASS,PASS,2.68152772120524e-15,1,1,1
MESH_L2,1.4,free_surface,1480,1480,3.25433548924294,3.25433548924294,29.7136349715523,29.7136349715523,0.243243243243243,0.243243243243243,FAIL,FAIL,1.87445612437245e-15,1,1,1
MESH_L2,1.4,bottom,1780,1780,3.25433548924294,3.25433548924294,18.8304115215436,18.8304115215436,0.557303370786517,0.557303370786517,FAIL,FAIL,2.64136508362031e-15,1,1,1
MESH_L2,1.4,farfield,400,400,1.39780774123349,1.39780774123349,89.0405419158869,89.0405419158869,0,0,PASS,PASS,3.17704070989175e-15,1,1,1
MESH_L3,1.4,body,588,588,1.41088028264537,1.41088028264537,63.7439059459357,63.7439059459357,0,0,PASS,PASS,2.61093047963483e-15,1,1,1
MESH_L3,1.4,free_surface,2856,2856,3.20069663756381,3.20069663756381,29.3744601526164,29.3744601526164,0.266106442577031,0.266106442577031,FAIL,FAIL,3.31463658382005e-15,1,1,1
MESH_L3,1.4,bottom,3444,3444,3.20069663756381,3.20069663756381,18.5083193947277,18.5083193947277,0.579558652729384,0.579558652729384,FAIL,FAIL,3.31463658382005e-15,1,1,1
MESH_L3,1.4,farfield,672,672,1.63057040030697,1.63057040030697,89.3146021972782,89.3146021972782,0,0,PASS,PASS,1.28878196238291e-15,1,1,1
MESH_L1,1.5,body,192,192,1.40403606215522,1.40403606215522,66.5620538048336,66.5620538048336,0,0,PASS,PASS,1.57883647193927e-15,1,1,1
MESH_L1,1.5,free_surface,928,928,3.97280182720078,3.97280182720078,29.5854120713497,29.5854120713497,0.25,0.25,FAIL,FAIL,1.14194361179508e-15,1,1,1
